DDC,Title,description,source
450,Italian Slang and Informal Discourse,"A descriptive analysis of colloquial expressions, youth slang, and non-standard idioms prevalent in contemporary Italian cities.",ai
450,Historical Phonology of Italian,A diachronic analysis tracking sound shifts from Classical and Vulgar Latin into the modern Italian vowel and consonant inventories.,ai
450,The Future of the Italian Language in Europe,"A sociolinguistic evaluation concerning the status, vitality, and regulatory influences on Italian within the European Union framework.",ai
756,Dinosaurs Before Dark,"The first installment in the popular Magic Tree House series, following siblings Jack and Annie as they discover a tree house filled with books that transports them back to the prehistoric time of dinosaurs.",ai
756,Because of Winn-Dixie,"A heartwarming children's novel about a lonely young girl named India Opal Buloni who adopts a scruffy, smiling stray dog named Winn-Dixie, helping her make new friends in a small Florida town.",ai
756,Bead Weaving with Treasure Beads Book 1,A dedicated guide and pattern book featuring intricate bead-weaving projects and designs utilizing precision-crafted Toho treasure beads.,ai
756,Number the Stars,"A gripping historical fiction novel set in 1943 Copenhagen, detailing the courageous efforts of ten-year-old Annemarie Johansen and her family as they help smuggle her Jewish best friend and family away to safety in neutral Sweden.",ai
756,Portland Bead Society Presents: Beaded Treasures...,A compilation collection presenting nine distinct jewelry and decorative patterns for beaded creations designed by skilled members of the Portland Bead Society.,ai
756,Craft Cord Corral: Bead Stringing Projects for Everyone,An accessible crafting guide introducing beginners and enthusiasts alike to fundamental bead stringing techniques using various cords to create custom jewelry.,ai
756,From the Flowering Fields - Create 3-D Flowers with Seed Beads,"An instructional craft book detailing step-by-step methods for creating lifelike, three-dimensional botanical flowers and arrangements using tiny seed beads.",ai
756,Plateau Pictorial Beadwork,A scholarly and visually rich examination of historical pictorial beadwork created by Indigenous peoples of the Columbia Plateau region.,ai
756,Bead All You Can Bead : An Open and Shut Case! : Volume II,"The second volume in an advanced crafting series focused on inventive, structural beadwork projects that feature creative closures and dimensional designs.",ai
756,Cheyenne Stitch Earrings Needle Weaving Made Easy Vol. 2,"A focused needle-weaving instruction manual exploring specific Cheyenne stitch techniques to craft unique, traditional-style beaded earrings.",ai
756,Beads Journal of the Society of Bead Researchers Volume 19,"An academic journal publication compiling peer-reviewed research papers and historical analyses on beads, beadwork, and trade beads worldwide.",ai
756,Beads & Chain,A practical jewelry-making guide exploring creative combinations of loose beads and metallic chains to construct fashionable modern accessories.,ai
756,Beadcats presents Czech pressed glass bead jewelry...,A specialty craft booklet offering six original jewelry design patterns explicitly built around traditional Bohemian Czech pressed glass components.,ai
756,The Silver Ghost: A Supernatural Car,A suspenseful fiction work revolving around the mysterious and supernatural occurrences tied to a classic vintage automobile.,ai
756,"The Beadecked Ornament, book four","The fourth installment of a holiday crafting series dedicated to elaborate, beaded decoration techniques used to embellish festive ornaments.",ai
756,Beaded Bags & More 2nd Edition,"An updated pattern collection and instruction manual outlining how to design, construct, and embellish elegant handmade beaded purses and accessories.",ai
756,The Beads of St. Catherines Island...,An anthropological research paper investigating trade beads recovered from archaeological excavations on St. Catherines Island.,ai
756,Two-Hole Bead Stitching: 25 new jewelry designs,A comprehensive instructional guide featuring twenty-five contemporary jewelry projects engineered specifically around versatile multi-hole and two-hole beads.,ai
756,Beautiful Beadwork from Nature: 16 Stunning Jewelry Projects...,"A design compilation book showcasing sixteen elegant beadweaving projects inspired directly by organic shapes, textures, and color palettes found in nature.",ai
756,Finishing Techniques for Bead Embroidery Projects,"A specialized needlework manual teaching professional-grade backing, edging, and closure techniques to cleanly finish complex bead embroidery pieces.",ai
756,Rivoli Beadwork,A masterclass style crafting guide highlighting distinct geometric beadwork patterns built around sparkling circular Rivoli crystal chatons.,ai
756,Lush & Layered Beadweaving: Stitch jewelry with textures & dimension...,An advanced jewelry design book focusing on complex stitching approaches that add deep tactile textures and three-dimensional layering to beadwork.,ai
756,Exquisite Stitching with Multi-Hole Beads,"A modern pattern book demonstrating how contemporary multi-hole beads can be seamlessly integrated into intricate, interlocking stitch structures.",ai
756,Patterns for the Beadfuddled Beader (Volume II - Peyote & Brickstitch...),A user-friendly pattern volume tailored to help intermediate crafters master traditional peyote and brick stitch beadweaving techniques.,ai
756,Bead N bugs,"A creative craft book combining bead embroidery and wirework instructions to fashion whimsical, miniature insect sculptures and jewelry.",ai
756,Art Clay Silver: 18 Projects,A comprehensive studio handbook guiding artisans through eighteen distinct metal clay projects utilizing silver powder binders to form fine silver jewelry.,ai
756,Designing with Wire! Project Book Three,A hands-on metal crafting guide presenting creative wire-wrapping and shaping projects for jewelry and decorative components.,ai
756,Beads in Indonesia,"A cultural exploration catalog documenting the historical significance, trade circulation, and artistic heritage of indigenous and ancient beads across Indonesia.",ai
756,Anatolske Glasperler,"A specialized study detailing the archaeological origins, historical development, and aesthetic properties of traditional glass beads from Anatolia.",ai
756,Kiffa Beads Mauritanian Powdered Glass Beads,"A detailed examination of traditional powdered glass Kiffa beads crafted by women artisans in Mauritania, capturing their unique heritage.",ai
756,Beaded Splendor,"A visually striking exploration of African beadwork traditions, analyzing how garments and objects adorned with beads express status and identity.",ai
756,Understanding Jade,"An informative mineralogical and cultural reference text explaining the physical properties, history, carving styles, and symbolic value of jade.",ai
756,Create Your Style with Swarovski,"A corporate design collection featuring official jewelry projects, branding inspiration, and crystal application methods utilizing authentic Swarovski components.",ai
756,Bloomin' (Blooming) Beads: Forty-two Full Color Beading Charts,A vibrant pattern book offering forty-two colorful graphic charts designed to translate floral motifs into beaded projects.,ai
768,The Littles Take a Trip,"A classic children's chapter book following the tiny Little family as they embark on a rare, adventurous, and perilous journey across the neighborhood to attend a family gathering.",ai
768,Commando 768 FLY TO GLORY,"A classic digest-sized British war comic book presenting a thrilling, action-packed narrative of aerial combat and military heroics during wartime.",ai
768,Little Hotchpotch (Bloomsbury Paperbacks),A charming and playful children's book featuring whimsical poetry and vivid illustrations that explore imagination and daily adventures.,ai
768,Three Men in a Boat [Oxford Bookworms],An adapted and simplified reader version of Jerome K. Jerome's classic humorous Victorian novel detailing a mishaps-filled boating holiday on the River Thames.,ai
768,The Oxford Handbook of Civil Society,"An authoritative edited volume that explores the evolution, diverse organizational forms, global geographical contexts, and theoretical foundations of civil society.",ai
768,"Constitutional Law: Principles and Policy, Cases and Materials",A comprehensive legal casebook designed for law students that provides deep insights into American constitutional law through judicial opinions and policy analysis.,ai
768,Kamo,"A touching and whimsical children's novel by acclaimed author Daniel Pennac that explores childhood friendship, school life, and imaginative escapades.",ai
768,The Baby-Sitters Remember,"A nostalgic entry in the beloved Baby-sitters Club series where the members look back on their friendship, adventures, and milestones running their babysitting enterprise.",ai
768,Systematic Theology Volume III,"A foundational theological text by a prominent 19th-century Calvinist scholar focusing on soteriology, ecclesiology, and Christian eschatology.",ai
768,Romance of the Sea,"A historical narrative exploring humanity's long relationship with the oceans, detailing maritime exploration, naval navigation, and the age of discovery.",ai
768,"Pray Love, Remember",A poignant young adult novel following a young woman striving to look beyond the constraints of her small-town life and troubled family circumstances in search of broader horizons.,ai
768,Ghosts Don't Get Goosebumps,"A fun, spooky children's chapter book blending humor and gentle chills as young characters navigate mysterious and supernatural playground occurrences.",ai
768,Elfangor's Secret (Animorphs Megamorphs #3),A feature-length installment in the popular sci-fi Animorphs series that uncovers hidden secrets regarding the Andalite warrior Elfangor and the ongoing war against the Yeerks.,ai
768,Vampire World 2: The Last Aerie,"A dark, imaginative fantasy-horror novel blending cosmic horror and vampire lore as protagonists battle ancient evils across alternative dimensions.",ai
768,I'm a Manatee,"A whimsical, rhyming children's picture book written by actor John Lithgow that imagines the cozy, surreal underwater adventures of a young boy transforming into a manatee.",ai
768,A Damsel in Distress,"A classic, lighthearted romantic comedy novel by P. G. Wodehouse filled with mistaken identities, witty banter, and upper-class British eccentricities.",ai
768,Andersonville,"A monumental, Pulitzer Prize-winning historical novel depicting the brutal conditions, suffering, and human resilience inside the infamous Civil War prisoner-of-war camp.",ai
768,When I Was Little: A Four-Year-Old's Memoir of Her Youth,A charming and humorous picture book written by Jamie Lee Curtis that looks at childhood through the nostalgic perspective of a little girl recalling her toddler years.,ai
768,Hop on Pop,"A classic, highly accessible beginner reader book by Dr. Seuss featuring simple rhyming words, phonics practice, and signature playful illustrations.",ai
768,William Shakespeare: The Sonnets,"A timeless collection of lyrical poems by William Shakespeare exploring complex themes of love, beauty, mortality, and human desire.",ai
768,Natasha's Dance: A Cultural History of Russia,"A sweeping, masterly cultural history exploring Russia's artistic soul, literature, music, and the tension between Western influences and native traditions.",ai
768,The Art of Looking Sideways,"A visually striking, eclectic compendium of design philosophy, visual puns, and witty observations compiled by legendary graphic designer Alan Fletcher.",ai
768,Gravity's Rainbow,"A dense, highly complex, and postmodern masterpiece set near the end of World War II, tracking paranoia, V-2 rockets, and bureaucratic absurdity.",ai
768,The Children's Book of Virtues,"An inspiring compilation of classic stories, poems, and fables carefully selected to teach children moral values, integrity, and character.",ai
768,Metamorphoses [in translation],A monumental epic poem in classical mythology that chronicles the history of the world from its creation to the deification of Julius Caesar through transformative myths.,ai
768,Say What?,"A witty and engaging children's book that plays with language, animal sounds, and communication misunderstandings through humorous visual storytelling.",ai
768,Read-Aloud Bible Stories: Volume 4,"A gentle, engaging children's book adapting key biblical narratives into simple, accessible language tailored for young listeners.",ai
768,The World of Greek Dance,"An insightful cultural study documenting the historical evolution, regional variations, and social significance of traditional Greek folk dances.",ai
768,Rebecca's Reward,"An inspiring historical fiction novel set in the American frontier, following themes of faith, perseverance, and community-building among early settlers.",ai
768,Feminine Personality and Conflict,"A psychological study examining the cultural expectations, internal conflicts, and identity development experienced by women.",ai
855,I Don't Want to Go to Bed!,A relatable and comforting children's picture book following a little tiger who tries every trick in the book to delay bedtime.,ai
855,Magic Fire Music,"A dramatic and celebrated orchestral excerpt from Richard Wagner's opera Die Walküre, capturing the blazing magical circle created by Wotan.",ai
855,"Mendelssohn : Piano concerto no.1 in G minor, Op.25 [score : solo piano]",A solo piano reduction score of Felix Mendelssohn's brilliant and virtuosic Romantic piano concerto.,ai
855,Commando 855 FLOATING FORTRESS,A classic digest-sized British war comic book presenting a thrilling narrative of naval warfare and military action against heavy odds.,ai
855,The territorial papers of the United States,"A foundational historical compilation of official government documents, correspondence, and administrative records concerning U.S. territories.",ai
855,Guilt,A gripping psychological suspense thriller by bestselling author Jonathan Kellerman featuring psychologist Alex Delaware and detective Milo Sturgis.,ai
855,Criminal Law Case Studies,An educational legal textbook examining complex criminal law issues through the analysis of real-world judicial cases.,ai
855,The Book-Method of Bible Study,A practical theological manual outlining systematic approaches and methods for studying scriptural texts effectively.,ai
855,Saint Nicolas: A Cantata (Full Score),A majestic and moving choral composition by Benjamin Britten detailing the legendary life and miraculous deeds of Saint Nicholas.,ai
855,Otto Grows Down,"A clever and imaginative children's time-travel story about a young boy who wishes time would move backward, only to face chaotic consequences.",ai
855,A Little Spot of Color,A vibrant and creative children's picture book that introduces young readers to the wonderful world of colors and artistic expression.,ai
855,The Trouble with Tyrannosaurus Rex,"A fun, engaging prehistoric children's story addressing identity, self-acceptance, and the physical challenges of having tiny arms.",ai
855,Rough Roads and Rainbows,An inspiring Christian fiction and adventure book filled with character-building lessons for young readers.,ai
855,I'd Be Your Princess: A Royal Tale of Godly Character,"A heartwarming story designed to teach young girls about spiritual identity, grace, and inner royal character.",ai
855,Rough-Hewn,"A rich, character-driven early 20th-century American novel exploring personal growth, romance, and the journey to self-discovery.",ai
855,The Social Behavior of the Bees,"A definitive, masterly scientific study by Charles D. Michener detailing the complex evolutionary biology and social structures of bees.",ai
855,The puzzle duck,A whimsical and visually delightful children's book filled with quirky characters and playful visual puzzles.,ai
855,God's Handmaiden,"A historical Christian fiction novel by Gilbert Morris depicting faith, perseverance, and dramatic historical settings.",ai
855,Catalogue of the Universe,"An accessible astronomy book exploring cosmic phenomena, celestial bodies, and the vast scale of space.",ai
855,Tidings of Great Joy,A touching holiday romance and contemporary fiction novel by bestselling author Sandra Brown exploring love and redemption.,ai
855,Kittens in the Kitchen,A sweet and comforting children's animal rescue story from the popular Animal Ark series focusing on veterinary care and animal welfare.,ai
855,Japanland: A Year in Search of Wa,An engaging travel memoir and cultural observation chronicle tracking a traveler's deep dive into traditional and modern Japanese harmony.,ai
855,The Romance of Tristan and Iseult,"A classic medieval tragic romance retold by Joseph Bédier, detailing an ill-fated love story bound by a magic potion.",ai
855,Via del Corso,"A travel and cultural exploration book capturing the vibrant atmosphere, history, and daily life along one of Rome's most famous streets.",ai
855,Lettere della resistenza europea,A historical collection of moving underground letters written by European resistance fighters during World War II.,ai
855,Bouwen aan boerderĳen,"An architectural and historical guide focusing on the preservation, restoration, and adaptive reuse of traditional farmhouses.",ai
855,Poniente: La increíble hazaña de Juan Sebastián Elcano,A historical narrative documenting the epic first circumnavigation of the globe by the surviving crew of the Victoria.,ai
855,La patria en la cartera,"A critical analytical text examining the historical roots, mechanisms, and contemporary impacts of political corruption in Spain.",ai
855,1938 Horch Type 855,"A specialized automotive history book detailing the engineering, design, and heritage of the ultra-rare classic Horch luxury automobile.",ai
855,Uyar Kalvi Thandha Uthamargal,A historical and biographical work in Tamil exploring visionaries and pioneers who shaped higher education systems.,ai
857,The Way Mothers Are,A tender and comforting children's picture book exploring the unconditional nature of maternal love across different animal families.,ai
857,P.D.Q. Bach on the Air,"A hilarious satirical music book by Peter Schickele chronicling the comical, fictitious discoveries and broadcast works of the fictional composer P.D.Q. Bach.",ai
857,"Mendelssohn : Symphony no.3 in A minor, Op.56 'Scottish' {score : study}",A standard orchestral study score of Felix Mendelssohn's evocative and romantic masterpiece inspired by his travels in Scotland.,ai
857,I Funny,A humorous and heartwarming middle-grade novel by James Patterson following a wheelchair-bound boy with big dreams of becoming a professional stand-up comedian.,ai
857,The Magnificat,A classical choral music score of Giovanni Battista Pergolesi's sublime setting of the biblical canticle of Mary.,ai
857,Nature's golden treasure: Honey cookbook,"A practical culinary guide and recipe collection highlighting the versatile uses of honey in cooking, baking, and health.",ai
857,Criminal Law Case Studies,An educational legal textbook examining complex criminal law issues through the detailed analysis of real-world judicial cases.,ai
857,Pirate Latitudes,"A swashbuckling, action-packed posthumous adventure novel by Michael Crichton set in the Caribbean during the 17th-century age of buccaneers.",ai
857,The Urban Homestead: Your Guide to Self-sufficient Living in the Heart of the City,"A comprehensive manual providing practical instructions for organic gardening, canning, energy conservation, and micro-livestock keeping in urban settings.",ai
857,Othello and Other Stories from Shakespeare,An accessible reader adaptation introducing young or language-learning audiences to classic Shakespearean plots and dramatic themes.,ai
857,Classic Mysteries: A Collection of Mind-Bending Masterpieces,"An engaging anthology featuring intricate, suspenseful puzzle-plots and classic short stories from the masters of mystery fiction.",ai
857,The Hippo-Not-Amus,"A playful, whimsical children's picture book centered on identity, self-worth, and a hippopotamus who wants to be something else.",ai
857,How to Draw: Heroic Anatomy,"A detailed instructional comic book art guide breaking down muscular structure, dynamic action poses, and heroic proportions.",ai
857,Who Brought the Bread: A Bible Mystery,An imaginative children's book exploring historical biblical settings and daily life through a clever mystery framework.,ai
857,The First Epistle to the Corinthians,A scholarly yet accessible New Testament commentary by Gordon D. Fee analyzing Paul's letters and early church theology.,ai
857,Frosty's New Friends,A festive wintertime children's story featuring cheerful holiday illustrations and friendly interactions with everyone's favorite snowman.,ai
857,"It's Check-up Time, Elmo!",A reassuring Sesame Street children's book designed to help young kids overcome anxiety about visiting the doctor's office.,ai
857,The Three Bears' Christmas,A cozy holiday-themed variation of the classic fairy tale featuring festive traditions and family warmth.,ai
857,A Rap on Race,"A powerful, unscripted dialogue transcript between anthropologist Margaret Mead and writer James Baldwin tackling systemic racism and human relations.",ai
857,The Crippled Lamb,A moving Christian children's allegory by Max Lucado about a special-needs lamb who discovers he has an important purpose during the first Christmas.,ai
857,On Asking God Why: And Other Reflections on Trusting God in a Twisted World,A thoughtful spiritual reflection book by Elisabeth Elliot offering comfort and biblical perspective amidst human suffering and confusion.,ai
857,Venice: Lion City: The Religion of Empire,"A brilliant cultural history by Garry Wills examining how Venetian art, architecture, and civic life were deeply intertwined with religious devotion to Saint Mark.",ai
857,The Ancient City: Life in Classical Athens and Rome,"A vividly illustrated historical study by Peter Connolly exploring the daily infrastructure, architecture, and social structures of classical antiquity.",ai
857,Whispers at Midnight,"A thrilling romantic suspense novel by Karen Robards blending high-stakes danger, courtroom drama, and a blossoming romance.",ai
857,Grant: A Biography,"A definitive, critically acclaimed biographical work by William S. McFeely reassessing the military triumphs and political struggles of Ulysses S. Grant.",ai
857,The Summer Book,"A luminous, quiet masterpiece by Tove Jansson depicting the unique bond between a young girl and her grandmother sharing a tiny island in the Gulf of Finland.",ai
857,The Cat Who Sniffed Glue,A charming cozy mystery novel by Lilian Jackson Braun featuring investigative journalist Qwilleran and his remarkably intuitive Siamese cats.,ai
857,Fancy That!,"A delightfully humorous children's book by Pamela Allen celebrating farm life, clever animals, and unexpected twists.",ai
857,Fratelli Tutti: On Fraternity and Social Friendship,"An encyclical letter by Pope Francis addressing global solidarity, human fraternity, peace, and the responsibility to build a more inclusive society.",ai
857,Maple Glory,An engaging creative work cataloged under international English-language literary distribution records.,ai
865,The Princess and the Pea,"A timeless fairy tale by Hans Christian Andersen about a delicate prince's quest for a true princess, tested by a single pea hidden beneath a mountain of mattresses.",ai
865,Music of England's Golden Age,A curated musical collection and historical recording overview celebrating the rich polyphonic and choral masterworks of Renaissance England.,ai
865,"Duet No. 1 for Violin and Viola, G Major, K. 423. Duet No. 2 for Violin and Viola, Bb Major, K. 424. Divertimento in Eb Major for String Trio, K. 563",A chamber music score compilation showcasing Wolfgang Amadeus Mozart's brilliant ingenuity in writing for small string ensembles without accompaniment.,ai
865,Commando 865 HERO'S HERITAGE,"A classic digest-sized British war comic book presenting a thrilling action-packed narrative of battlefield heroics, military duty, and wartime legacy.",ai
865,Good Morning Doctor Houston,A classic romance and medical fiction novel by Lucy Gillen blending professional drama with emotional entanglements.,ai
865,The Damnation of Faust: Finale to Part II,A dramatic orchestral and choral score excerpt from Hector Berlioz's legendary concert work capturing intense romantic and atmospheric passion.,ai
865,Insane City,"A hilarious, fast-paced satirical comedy novel by Dave Barry set against the chaotic backdrop of a wild destination wedding in Miami.",ai
865,Samuel's kisses,"A heartwarming children's picture book exploring themes of affection, family connection, and emotional expression.",ai
865,Criminal Law Case Studies,An educational legal textbook examining complex criminal law issues through the detailed analysis of real-world judicial cases.,ai
865,No Place for a Lady,A historical Christian romance novel by Maggie Brendan following a strong-willed woman navigating the challenges of the American frontier.,ai
865,A Pearl in the Storm: How I Found My Heart in the Middle of the Ocean,"An inspiring memoir by Tori Murden McClure detailing her harrowing, historic solo row across the Atlantic Ocean and her journey of personal resilience.",ai
865,James to the Rescue: A Book About Friendliness,"A charming character-building children's book focusing on social values, kindness, and the importance of being a good friend.",ai
865,Shortest Kid in the World,"A relatable children's chapter book addressing self-esteem, growth, and the universal experience of feeling different from one's peers.",ai
865,Blow-Up [1967 film],"A cinematic study and screenplay exploration of Michelangelo Antonioni's iconic mystery-drama film about perception, reality, and swinging London.",ai
865,Science Vocabulary Readers: Colorful Leaves,An educational non-fiction book for early readers designed to introduce seasonal nature concepts and fundamental science vocabulary.,ai
865,The Basic Laws of Human Stupidity,A witty and sharply observed sociological essay by Carlo M. Cipolla analyzing the constant and destructive role of irrational human behavior in society.,ai
865,Cheerios Counting Book,An interactive and playful early learning book that uses familiar cereal pieces to help young children master basic counting skills.,ai
865,Invention (Eyewitness Books),"A richly illustrated non-fiction reference book exploring the history of human technological breakthroughs, tools, and mechanical innovations.",ai
865,Viking Tales,"A captivating collection of historical legends and adventure stories by Jennie Hall detailing the Norse voyages, myths, and daily life of early explorers.",ai
865,Jesus and His Times,"A comprehensive, illustrated historical reference work produced by Reader's Digest examining the cultural, political, and religious world of first-century Judea.",ai
865,The Mutt in the Iron Muzzle,An adventurous middle-grade novel from the popular Wishbone series blending literary adaptation with the playful imagination of a beloved literary dog.,ai
865,True Stories About Abraham Lincoln,"A biographical children's book chronicling the humble origins, political career, and enduring legacy of America's 16th president.",ai
865,The Book of the City of Ladies,A foundational proto-feminist masterpiece by Christine de Pizan defending women's intellectual and moral capabilities by constructing an allegorical city of famous heroines.,ai
865,Skating Shoes,A beloved children's classic novel by Noel Streatfeild following a sickly girl who discovers a passion and talent for ice skating in post-war England.,ai
865,"Word Biblical Commentary, Volume 35A: Luke 1-9:20","A rigorous, scholarly theological commentary providing deep linguistic, historical, and exegetical analysis of the Gospel of Luke.",ai
865,Charlie Chan: Five Complete Novels,"An omnibus collection of classic mystery novels by Earl Derr Biggers featuring the iconic, astute Honolulu detective solving complex international crimes.",ai
865,Mission from Mount Yoda,An action-packed science fiction novel written by Paul Davids expanding on classic universe lore and galactic adventures.,ai
865,Summerland,"A masterly, genre-bending fantasy novel by Michael Chabon weaving American folklore, baseball, and mythological dimensions together in the Pacific Northwest.",ai
865,Civilization and Its Discontents,A seminal psychoanalytic and philosophical essay by Sigmund Freud examining the inherent conflict between individual desires and the repressive demands of civilization.,ai
865,The Garden of the Princes,"An evocative modern literary work exploring historical memory, identity, and narrative depth within European literature.",ai
866,"Klavierkoncert in A Major, KV 488",A classical piano concerto score featuring Wolfgang Amadeus Mozart's brilliant melodic invention and sophisticated dialogue between soloist and orchestra.,ai
866,Fire,"A gripping and emotional survival novel depicting the terror, intensity, and community resilience during a devastating Australian bushfire.",ai
866,"Deck Thyself, My Soul, With Gladness / Jesus Bread of Life from Heaven",A sacred choral and organ music score collection featuring Johann Sebastian Bach's deeply spiritual and intricate Lutheran compositions.,ai
866,Deep Zone,An action-packed sports fiction novel following a talented young football player navigating high-stakes games and personal challenges.,ai
866,Criminal Law Case Studies,An educational legal textbook examining complex criminal law issues through the detailed analysis of real-world judicial cases.,ai
866,The Unknown Kurt Weill: A Collection of 14 Songs as Sung by Teresa Stratas,"A specialized musical album and score collection showcasing rare, expressive vocal compositions by Kurt Weill interpreted by soprano Teresa Stratas.",ai
866,The Viking's Defiant Bride,"A historical romance novel set in the medieval era, blending political tension, fierce loyalty, and a passionate enemies-to-lovers storyline.",ai
866,Pathway of Roses,"An uplifting collection of inspirational poetry and prose focused on spiritual reflection, nature, and emotional healing.",ai
866,Where Do Insects Live?,An engaging non-fiction early reader book introducing children to the diverse natural habitats and homes of various insects.,ai
866,The End of Manners: A Novel,"A contemporary psychological novel exploring expatriate life, moral ambiguity, cultural displacement, and complex relationships in East Africa.",ai
866,Queer Images: A History of Gay and Lesbian Film in America,"A comprehensive film studies text analyzing the historical representation, evolution, and cultural impact of gay and lesbian cinema in the United States.",ai
866,Rhigas Velestinlis: The Proto-martyr of the Greek Revolution,"A biographical and historical study detailing the life, revolutionary vision, and martyrdom of the Greek intellectual Rhigas Velestinlis.",ai
866,Senior Prom,"A classic, lighthearted young adult romance novel capturing the social anxieties, dating dynamics, and milestone excitement of high school senior year.",ai
866,Insects and Spiders,"A visually striking educational book detailing the physical characteristics, behaviors, and classifications of arthropods.",ai
866,"The Prayerful Spirit: Passion for God, Compassion for People","A spiritual guidebook emphasizing the transformative power of deep prayer, faith, and compassionate service toward others.",ai
866,The Joys of Beekeeping,"A practical and reflective manual detailing the traditional methods, philosophy, and personal rewards of managing honeybee colonies.",ai
866,Leaves! Leaves! Leaves!,"A colorful children's picture book exploring botanical science, seasonal changes, and the different shapes and types of tree leaves.",ai
866,The Prayer of Jabez for Young Hearts,"An adapted children's book presenting a biblical prayer focused on personal character, protection, and spiritual growth for young readers.",ai
866,Music,"A richly illustrated reference book from the Eyewitness series exploring the history, instruments, theory, and cultural importance of global music.",ai
866,Arthur and the Scare-Your-Pants-Off Club,"A beloved children's chapter book featuring Arthur navigating a trendy, scary book club and learning to deal with spooky stories.",ai
866,Sebastian Lives in a Hat,"A heartwarming, true Australian children's story about the rescue, rehabilitation, and care of an orphaned wombat joey.",ai
866,Clifford's Family,"A charming classic children's picture book following Clifford the Big Red Dog as he visits his mother, father, and siblings across the country.",ai
866,The Seance,"A suspenseful young adult mystery novel dealing with teenage curiosity, psychological tension, and unexplained supernatural occurrences.",ai
866,If You Grew Up with George Washington,"An informative historical children's book answering common questions about daily life, clothing, and schooling in 18th-century America.",ai
866,The Moon Book,"An accessible, beautifully illustrated non-fiction introduction to lunar phases, space exploration, and scientific facts about Earth's moon.",ai
866,The World as I See It,"A collection of essays, letters, and reflections by Albert Einstein offering his personal views on science, religion, pacifism, and human society.",ai
866,Lon Po Po: A Red-Riding Hood Story from China,A Caldecott Medal-winning picture book retelling a traditional Chinese variant of the Little Red Riding Hood fable featuring clever siblings and a cunning wolf.,ai
