DDC,Title,description,remark
189,"Researching cultural universals: Texts, Practices, and Examples","This study examines cultural universals, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of modern and contemporary western philosophy and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
199,Questions in comparative philosophy: Teaching and Introductory Use,"The collection focuses on comparative philosophy, with particular attention to its teaching and introductory use. It places the subject within the broader field of other modern philosophical traditions and studies and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Short sections make the material useful to students, researchers, and general readers.",ai-generated
216,Questions in resistance to evil: Historical Development and Key Themes,"This volume introduces resistance to evil, with particular attention to its historical development. It places the subject within the broader field of ethics and moral philosophy and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
216,Selected Studies in human character and action: Concepts and Terminology,"This collection explores human character and action, with particular attention to its major concepts and terminology. It places the subject within the broader field of ethics and moral philosophy and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
216,A Guide to moral responsibility: Methods of Study,"The volume brings together research on moral responsibility, with particular attention to its methods of study and interpretation. It places the subject within the broader field of ethics and moral philosophy and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
216,"Questions in ethics in society: Texts, Practices, and Examples","The study traces ethics in society, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of ethics and moral philosophy and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
216,Researching moral responsibility: Change Across Periods and Regions,"This volume introduces moral responsibility, with particular attention to its changes across periods and regions. It places the subject within the broader field of ethics and moral philosophy and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
219,"Questions in piano teaching: Texts, Practices, and Examples","The book surveys piano teaching, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of applied arts, music instruction, and performance studies and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Short sections make the material useful to students, researchers, and general readers.",ai-generated
219,Perspectives on violin instruction: Change Across Periods and Regions,"This accessible guide considers violin instruction, with particular attention to its changes across periods and regions. It places the subject within the broader field of applied arts, music instruction, and performance studies and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
219,A Guide to artists and artistic training: Connections with Related Fields,"The collection focuses on artists and artistic training, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of applied arts, music instruction, and performance studies and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Short sections make the material useful to students, researchers, and general readers.",ai-generated
219,New Studies in performance practice: Current Scholarly Debates,"This study examines performance practice, with particular attention to its current scholarly debates. It places the subject within the broader field of applied arts, music instruction, and performance studies and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
219,Exploring piano teaching: Teaching and Introductory Use,"The book surveys piano teaching, with particular attention to its teaching and introductory use. It places the subject within the broader field of applied arts, music instruction, and performance studies and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
219,Practical Studies in artists and artistic training: Institutions and Communities,"This accessible guide considers artists and artistic training, with particular attention to its the role of institutions and communities. It places the subject within the broader field of applied arts, music instruction, and performance studies and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
221,Approaches to Hebrew Bible: Connections with Related Fields,"This accessible guide considers hebrew bible, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of the bible and old testament studies and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Short sections make the material useful to students, researchers, and general readers.",ai-generated
221,Perspectives on Septuagint studies: Current Scholarly Debates,"The collection focuses on septuagint studies, with particular attention to its current scholarly debates. It places the subject within the broader field of the bible and old testament studies and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Short sections make the material useful to students, researchers, and general readers.",ai-generated
221,Approaches to biblical translation: Teaching and Introductory Use,"This study examines biblical translation, with particular attention to its teaching and introductory use. It places the subject within the broader field of the bible and old testament studies and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Short sections make the material useful to students, researchers, and general readers.",ai-generated
221,biblical translation: Institutions and Communities,"The book surveys biblical translation, with particular attention to its the role of institutions and communities. It places the subject within the broader field of the bible and old testament studies and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
221,Questions in Hebrew Bible: Theory and Practice,"This accessible guide considers hebrew bible, with particular attention to its connections between theory and practice. It places the subject within the broader field of the bible and old testament studies and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
288,New Studies in religious liberalism: Historical Development and Key Themes,"This volume introduces religious liberalism, with particular attention to its historical development. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
288,Exploring liberal theology: Concepts and Terminology,"This collection explores liberal theology, with particular attention to its major concepts and terminology. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
288,spiritual development: Methods of Study,"The volume brings together research on spiritual development, with particular attention to its methods of study and interpretation. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
288,"Changing Studies in spiritual development: Texts, Practices, and Examples","The study traces spiritual development, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
288,New Studies in religious communities: Change Across Periods and Regions,"This volume introduces religious communities, with particular attention to its changes across periods and regions. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
288,religious liberalism: Connections with Related Fields,"This collection explores religious liberalism, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
288,Researching religious communities: Current Scholarly Debates,"The volume brings together research on religious communities, with particular attention to its current scholarly debates. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
288,Approaches to religious liberalism: Teaching and Introductory Use,"The study traces religious liberalism, with particular attention to its teaching and introductory use. It places the subject within the broader field of other christian denominations and liberal religious traditions and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
298,Contemporary Studies in religion and culture: Material and Cultural Contexts,"This collection explores religion and culture, with particular attention to its material and cultural contexts. It places the subject within the broader field of other religious traditions and cultural beliefs and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
298,Reading religion and culture: Questions for Further Research,"The volume brings together research on religion and culture, with particular attention to its questions raised by recent research. It places the subject within the broader field of other religious traditions and cultural beliefs and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
298,Questions in religious communities: Historical Development and Key Themes,"The study traces religious communities, with particular attention to its historical development. It places the subject within the broader field of other religious traditions and cultural beliefs and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
298,Contexts of oral traditions: Concepts and Terminology,"This volume introduces oral traditions, with particular attention to its major concepts and terminology. It places the subject within the broader field of other religious traditions and cultural beliefs and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
298,ritual practice: Methods of Study,"This collection explores ritual practice, with particular attention to its methods of study and interpretation. It places the subject within the broader field of other religious traditions and cultural beliefs and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
298,"Researching religious communities: Texts, Practices, and Examples","The volume brings together research on religious communities, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of other religious traditions and cultural beliefs and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Short sections make the material useful to students, researchers, and general readers.",ai-generated
313,leveled reading in Context: Concepts and Terminology,"This study examines leveled reading, with particular attention to its major concepts and terminology. It places the subject within the broader field of elementary reading, children's literature, and youth materials and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
313,Perspectives on children's stories: Methods of Study,"The book surveys children's stories, with particular attention to its methods of study and interpretation. It places the subject within the broader field of elementary reading, children's literature, and youth materials and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
313,"A Guide to early readers: Texts, Practices, and Examples","This accessible guide considers early readers, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of elementary reading, children's literature, and youth materials and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
313,Exploring leveled reading: Change Across Periods and Regions,"The collection focuses on leveled reading, with particular attention to its changes across periods and regions. It places the subject within the broader field of elementary reading, children's literature, and youth materials and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
313,Contexts of children's stories: Connections with Related Fields,"This study examines children's stories, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of elementary reading, children's literature, and youth materials and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
313,early readers in Context: Current Scholarly Debates,"The book surveys early readers, with particular attention to its current scholarly debates. It places the subject within the broader field of elementary reading, children's literature, and youth materials and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Short sections make the material useful to students, researchers, and general readers.",ai-generated
459,"The Making of language teaching: Texts, Practices, and Examples","The book surveys language teaching, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of romanian language and related language studies and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
459,Practical Studies in language teaching: Change Across Periods and Regions,"This accessible guide considers language teaching, with particular attention to its changes across periods and regions. It places the subject within the broader field of romanian language and related language studies and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
