DDC,Title,description,remark
167,Conjecture And Explanation: Studies and Examples,A focused introduction to conjecture and explanation that explores comparative approaches to the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
167,Hypothetical Worlds: A Historical Survey,"A reference-style study of hypothetical worlds, emphasizing the role of language and terminology. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
167,Supposition And Belief: Themes and Methods,"This volume examines supposition and belief through professional practice and current reference needs. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
167,Possibility And Philosophical Inquiry: A Research Guide,"An accessible scholarly guide to possibility and philosophical inquiry, with particular attention to educational uses and introductory study. It is designed to support research, comparison, and further reading.",ai-generated
167,Reasoning From Assumptions: Selected Studies,This collection presents material on reasoning from assumptions and considers the preservation and interpretation of sources. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
167,The Role Of Conjecture In Philosophy: An Annotated Guide,A focused introduction to the role of conjecture in philosophy that explores the social and cultural setting of the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
167,Hypotheses And Evidence: Historical Perspectives,"A reference-style study of hypotheses and evidence, emphasizing changes brought by new technologies. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
167,Speculative Reasoning: A Comparative Study,"This volume examines speculative reasoning through selected examples for students and researchers. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
167,Supposition In Aesthetics: Sources and Approaches,"An accessible scholarly guide to supposition in aesthetics, with particular attention to connections with related fields of study. It is designed to support research, comparison, and further reading.",ai-generated
167,Philosophical Models: A Reference Companion,This collection presents material on philosophical models and considers the organization and use of reference materials. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
167,Testing Philosophical Hypotheses: Studies and Examples,A focused introduction to testing philosophical hypotheses that explores important debates and scholarly approaches. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
167,Hypotheses In Metaphysics: A Historical Survey (21),"A reference-style study of hypotheses in metaphysics, emphasizing the evolution of the subject in modern scholarship. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
167,Supposition In Philosophy Of Mind: Themes and Methods (22),"This volume examines supposition in philosophy of mind through regional examples and historical context. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
167,Counterfactual Reasoning: A Research Guide (23),"An accessible scholarly guide to counterfactual reasoning, with particular attention to practical techniques and working procedures. It is designed to support research, comparison, and further reading.",ai-generated
167,Philosophical Conjecture: Selected Studies (24),"This collection presents material on philosophical conjecture and considers major sources, catalogues, and bibliographic evidence. Short sections connect historical evidence with the practices and questions most relevant to the subject.",ai-generated
167,Hypothetical Propositions: An Annotated Guide (25),"A focused introduction to hypothetical propositions that explores the interaction of readers, writers, and institutions. The description of sources and examples helps readers understand how the subject developed and how it is studied.",ai-generated
167,Imaginative Supposition: Historical Perspectives (26),"A reference-style study of imaginative supposition, emphasizing interpretation of texts, documents, or artifacts. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
167,Modal Hypotheses: A Comparative Study (27),"This volume examines modal hypotheses through the influence of the subject on public and cultural life. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
167,Assumptions In Philosophical Argument: Sources and Approaches (28),"An accessible scholarly guide to assumptions in philosophical argument, with particular attention to comparisons among established traditions. It is designed to support research, comparison, and further reading.",ai-generated
167,Working Hypotheses In Ethics: A Reference Companion (29),This collection presents material on working hypotheses in ethics and considers research questions and representative case studies. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
173,Filial Obligation: A Historical Survey,"A reference-style study of filial obligation, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
173,Parental Responsibility: Themes and Methods,"This volume examines parental responsibility through key concepts and representative examples. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
173,Marriage And Moral Duty: A Research Guide,"An accessible scholarly guide to marriage and moral duty, with particular attention to methods of study and reference practice. It is designed to support research, comparison, and further reading.",ai-generated
173,Family Loyalty: Selected Studies,This collection presents material on family loyalty and considers major figures and influential works. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
173,Care Between Generations: An Annotated Guide,A focused introduction to care between generations that explores regional traditions and changing practices. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
173,Ethical Questions Of Inheritance: Historical Perspectives,"A reference-style study of ethical questions of inheritance, emphasizing themes across different periods. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
173,Duties Between Parents And Children: A Comparative Study,"This volume examines duties between parents and children through the relationship between theory and practice. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
173,Family Autonomy: Sources and Approaches,"An accessible scholarly guide to family autonomy, with particular attention to documentary evidence and research methods. It is designed to support research, comparison, and further reading.",ai-generated
173,Conflict Within Families: A Reference Companion,This collection presents material on conflict within families and considers the development of institutions and collections. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
173,Caregiving And Moral Obligation: Studies and Examples,A focused introduction to caregiving and moral obligation that explores comparative approaches to the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
173,Confucian Family Ethics: A Historical Survey,"A reference-style study of Confucian family ethics, emphasizing the role of language and terminology. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
173,Kinship And Responsibility: Themes and Methods,"This volume examines kinship and responsibility through professional practice and current reference needs. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
173,Family And Social Duty: A Research Guide,"An accessible scholarly guide to family and social duty, with particular attention to educational uses and introductory study. It is designed to support research, comparison, and further reading.",ai-generated
173,Moral Education In The Household: Selected Studies,This collection presents material on moral education in the household and considers the preservation and interpretation of sources. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
173,Elder Care: An Annotated Guide,A focused introduction to elder care that explores the social and cultural setting of the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
173,Adoption And Moral Responsibility: Historical Perspectives,"A reference-style study of adoption and moral responsibility, emphasizing changes brought by new technologies. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
173,Family Privacy: A Comparative Study,"This volume examines family privacy through selected examples for students and researchers. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
173,Children And Parental Authority: Sources and Approaches,"An accessible scholarly guide to children and parental authority, with particular attention to connections with related fields of study. It is designed to support research, comparison, and further reading.",ai-generated
173,Intergenerational Justice: A Reference Companion,This collection presents material on intergenerational justice and considers the organization and use of reference materials. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
173,Ethics Of Family Relationships: Studies and Examples,A focused introduction to ethics of family relationships that explores important debates and scholarly approaches. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
173,Filial Obligation: A Historical Survey (21),"A reference-style study of filial obligation, emphasizing the evolution of the subject in modern scholarship. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
173,Parental Responsibility: Themes and Methods (22),"This volume examines parental responsibility through regional examples and historical context. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
173,Marriage And Moral Duty: A Research Guide (23),"An accessible scholarly guide to marriage and moral duty, with particular attention to practical techniques and working procedures. It is designed to support research, comparison, and further reading.",ai-generated
173,Family Loyalty: Selected Studies (24),"This collection presents material on family loyalty and considers major sources, catalogues, and bibliographic evidence. Short sections connect historical evidence with the practices and questions most relevant to the subject.",ai-generated
173,Care Between Generations: An Annotated Guide (25),"A focused introduction to care between generations that explores the interaction of readers, writers, and institutions. The description of sources and examples helps readers understand how the subject developed and how it is studied.",ai-generated
173,Ethical Questions Of Inheritance: Historical Perspectives (26),"A reference-style study of ethical questions of inheritance, emphasizing interpretation of texts, documents, or artifacts. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
173,Duties Between Parents And Children: A Comparative Study (27),"This volume examines duties between parents and children through the influence of the subject on public and cultural life. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
173,Family Autonomy: Sources and Approaches (28),"An accessible scholarly guide to family autonomy, with particular attention to comparisons among established traditions. It is designed to support research, comparison, and further reading.",ai-generated
173,Conflict Within Families: A Reference Companion (29),This collection presents material on conflict within families and considers research questions and representative case studies. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
176,Sexual Consent: A Historical Survey,"A reference-style study of sexual consent, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
176,Sexual Relationships: Themes and Methods,"This volume examines sexual relationships through key concepts and representative examples. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
176,Reproductive Ethics: A Research Guide,"An accessible scholarly guide to reproductive ethics, with particular attention to methods of study and reference practice. It is designed to support research, comparison, and further reading.",ai-generated
176,Contraception And Morality: Selected Studies,This collection presents material on contraception and morality and considers major figures and influential works. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
176,Sexual Autonomy: An Annotated Guide,A focused introduction to sexual autonomy that explores regional traditions and changing practices. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
176,Marriage And Sexuality: Historical Perspectives,"A reference-style study of marriage and sexuality, emphasizing themes across different periods. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
176,Gender And Sexual Ethics: A Comparative Study,"This volume examines gender and sexual ethics through the relationship between theory and practice. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
176,Sexuality In Religious Ethics: Sources and Approaches,"An accessible scholarly guide to sexuality in religious ethics, with particular attention to documentary evidence and research methods. It is designed to support research, comparison, and further reading.",ai-generated
176,Sexual Education: A Reference Companion,This collection presents material on sexual education and considers the development of institutions and collections. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
176,Privacy And Intimacy: Studies and Examples,A focused introduction to privacy and intimacy that explores comparative approaches to the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
176,Commercial Sex And Ethics: A Historical Survey,"A reference-style study of commercial sex and ethics, emphasizing the role of language and terminology. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
176,Sexual Violence And Moral Responsibility: Themes and Methods,"This volume examines sexual violence and moral responsibility through professional practice and current reference needs. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
176,Sexual Identity And Moral Philosophy: A Research Guide,"An accessible scholarly guide to sexual identity and moral philosophy, with particular attention to educational uses and introductory study. It is designed to support research, comparison, and further reading.",ai-generated
176,Sexual Health Ethics: Selected Studies,This collection presents material on sexual health ethics and considers the preservation and interpretation of sources. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
176,Fidelity And Commitment: An Annotated Guide,A focused introduction to fidelity and commitment that explores the social and cultural setting of the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
176,Desire And Moral Judgment: Historical Perspectives,"A reference-style study of desire and moral judgment, emphasizing changes brought by new technologies. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
176,Sexual Relationships And Social Norms: A Comparative Study,"This volume examines sexual relationships and social norms through selected examples for students and researchers. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
176,Bioethical Questions Of Reproduction: Sources and Approaches,"An accessible scholarly guide to bioethical questions of reproduction, with particular attention to connections with related fields of study. It is designed to support research, comparison, and further reading.",ai-generated
176,Family Planning Ethics: A Reference Companion,This collection presents material on family planning ethics and considers the organization and use of reference materials. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
176,Philosophical Approaches To Sexuality: Studies and Examples,A focused introduction to philosophical approaches to sexuality that explores important debates and scholarly approaches. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
176,Sexual Consent: A Historical Survey (21),"A reference-style study of sexual consent, emphasizing the evolution of the subject in modern scholarship. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
176,Sexual Relationships: Themes and Methods (22),"This volume examines sexual relationships through regional examples and historical context. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
176,Reproductive Ethics: A Research Guide (23),"An accessible scholarly guide to reproductive ethics, with particular attention to practical techniques and working procedures. It is designed to support research, comparison, and further reading.",ai-generated
176,Contraception And Morality: Selected Studies (24),"This collection presents material on contraception and morality and considers major sources, catalogues, and bibliographic evidence. Short sections connect historical evidence with the practices and questions most relevant to the subject.",ai-generated
176,Sexual Autonomy: An Annotated Guide (25),"A focused introduction to sexual autonomy that explores the interaction of readers, writers, and institutions. The description of sources and examples helps readers understand how the subject developed and how it is studied.",ai-generated
176,Marriage And Sexuality: Historical Perspectives (26),"A reference-style study of marriage and sexuality, emphasizing interpretation of texts, documents, or artifacts. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
176,Gender And Sexual Ethics: A Comparative Study (27),"This volume examines gender and sexual ethics through the influence of the subject on public and cultural life. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
187,Epicurus And Happiness: A Historical Survey,"A reference-style study of Epicurus and happiness, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
217,Forms Of Prayer: A Historical Survey,"A reference-style study of forms of prayer, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
461,Spanish Pronunciation: A Historical Survey,"A reference-style study of Spanish pronunciation, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
461,Spanish Spelling: Themes and Methods,"This volume examines Spanish spelling through key concepts and representative examples. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
461,Spanish Phonetics: A Research Guide,"An accessible scholarly guide to Spanish phonetics, with particular attention to methods of study and reference practice. It is designed to support research, comparison, and further reading.",ai-generated
461,Accent Marks In Spanish: Selected Studies,This collection presents material on accent marks in Spanish and considers major figures and influential works. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
461,Spanish Syllable Structure: An Annotated Guide,A focused introduction to Spanish syllable structure that explores regional traditions and changing practices. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
461,Spanish Reading Aloud: Historical Perspectives,"A reference-style study of Spanish reading aloud, emphasizing themes across different periods. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
461,Vowel And Consonant Systems: A Comparative Study,"This volume examines vowel and consonant systems through the relationship between theory and practice. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
461,Spanish Sound Patterns: Sources and Approaches,"An accessible scholarly guide to Spanish sound patterns, with particular attention to documentary evidence and research methods. It is designed to support research, comparison, and further reading.",ai-generated
461,Orthographic Reform: A Reference Companion,This collection presents material on orthographic reform and considers the development of institutions and collections. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
461,Spanish Pronunciation For Learners: Studies and Examples,A focused introduction to Spanish pronunciation for learners that explores comparative approaches to the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
461,Stress And Intonation: A Historical Survey,"A reference-style study of stress and intonation, emphasizing the role of language and terminology. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
461,Spanish Phonetic Transcription: Themes and Methods,"This volume examines Spanish phonetic transcription through professional practice and current reference needs. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
461,Regional Pronunciation: A Research Guide,"An accessible scholarly guide to regional pronunciation, with particular attention to educational uses and introductory study. It is designed to support research, comparison, and further reading.",ai-generated
461,Teaching Spanish Sounds: Selected Studies,This collection presents material on teaching Spanish sounds and considers the preservation and interpretation of sources. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
461,Spanish Spelling Conventions: An Annotated Guide,A focused introduction to Spanish spelling conventions that explores the social and cultural setting of the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
461,Written Accents: Historical Perspectives,"A reference-style study of written accents, emphasizing changes brought by new technologies. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
461,Spanish Alphabet And Writing: A Comparative Study,"This volume examines Spanish alphabet and writing through selected examples for students and researchers. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
461,Pronunciation Dictionaries: Sources and Approaches,"An accessible scholarly guide to pronunciation dictionaries, with particular attention to connections with related fields of study. It is designed to support research, comparison, and further reading.",ai-generated
461,Spanish Phonology: A Reference Companion,This collection presents material on Spanish phonology and considers the organization and use of reference materials. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
461,Reading And Pronunciation: Studies and Examples,A focused introduction to reading and pronunciation that explores important debates and scholarly approaches. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
461,Spanish Pronunciation: A Historical Survey (21),"A reference-style study of Spanish pronunciation, emphasizing the evolution of the subject in modern scholarship. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
461,Spanish Spelling: Themes and Methods (22),"This volume examines Spanish spelling through regional examples and historical context. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
461,Spanish Phonetics: A Research Guide (23),"An accessible scholarly guide to Spanish phonetics, with particular attention to practical techniques and working procedures. It is designed to support research, comparison, and further reading.",ai-generated
461,Accent Marks In Spanish: Selected Studies (24),"This collection presents material on accent marks in Spanish and considers major sources, catalogues, and bibliographic evidence. Short sections connect historical evidence with the practices and questions most relevant to the subject.",ai-generated
461,Spanish Syllable Structure: An Annotated Guide (25),"A focused introduction to Spanish syllable structure that explores the interaction of readers, writers, and institutions. The description of sources and examples helps readers understand how the subject developed and how it is studied.",ai-generated
461,Spanish Reading Aloud: Historical Perspectives (26),"A reference-style study of Spanish reading aloud, emphasizing interpretation of texts, documents, or artifacts. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
461,Vowel And Consonant Systems: A Comparative Study (27),"This volume examines vowel and consonant systems through the influence of the subject on public and cultural life. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
527,Finding Longitude At Sea: A Historical Survey,"A reference-style study of finding longitude at sea, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
606,Engineering Research Organizations: A Historical Survey,"A reference-style study of engineering research organizations, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
606,Technology Institutes: Themes and Methods,"This volume examines technology institutes through key concepts and representative examples. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
606,Industrial Research Societies: A Research Guide,"An accessible scholarly guide to industrial research societies, with particular attention to methods of study and reference practice. It is designed to support research, comparison, and further reading.",ai-generated
606,Scientific And Technical Associations: Selected Studies,This collection presents material on scientific and technical associations and considers major figures and influential works. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
606,Professional Engineering Organizations: An Annotated Guide,A focused introduction to professional engineering organizations that explores regional traditions and changing practices. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
