DDC,Title,description,source
469,Portuguese Language and Usage,"An introduction to Portuguese grammar, vocabulary, pronunciation, syntax, and standard usage, with examples for learners and readers.",ai
469,A Grammar of Portuguese,"A systematic guide to Portuguese grammar covering word formation, verb conjugation, sentence structure, agreement, and common constructions.",ai
469,The Portuguese Language,"A general study of Portuguese as a Romance language, including its historical development, regional varieties, grammar, and modern usage.",ai
469,Portuguese Phonology and Pronunciation,"This work examines the sound system of Portuguese, including vowels, consonants, stress, pronunciation patterns, and regional differences.",ai
469,History and Development of Portuguese,"A historical survey of Portuguese from its Romance origins to modern forms, tracing linguistic change, standardization, and geographic variation.",ai
836,Letters in German Literature,"A collection and study of German literary letters, emphasizing personal correspondence, literary style, historical context, and the development of epistolary writing.",ai
836,Selected German Letters,"Representative German letters are presented and examined for their literary qualities, historical value, language, and insight into the lives of writers.",ai
836,The German Literary Letter,"This study explores correspondence as a literary form in German culture, considering authorship, audience, style, and historical significance.",ai
836,Correspondence and German Writers,"A study of letters exchanged by German writers and intellectuals, showing how correspondence reflects literary relationships and cultural life.",ai
836,Studies in German Epistolary Writing,"An introduction to German letters as literary and historical documents, with attention to form, language, authorship, and interpretation.",ai
869,An Introduction to Portuguese Literature,"A survey of Portuguese literature from its early traditions to modern writing, introducing major authors, genres, themes, and historical periods.",ai
869,History of Portuguese Literature,"This work traces the development of Portuguese literature and examines important movements, writers, literary forms, and cultural influences.",ai
869,Modern Portuguese Writers,"An introduction to significant modern Portuguese authors and their works, with discussion of literary themes, historical context, and stylistic development.",ai
869,Poetry and Prose of Portugal,"A survey of Portuguese poetic and prose traditions, highlighting representative authors and the evolution of literary forms across different periods.",ai
869,Studies in Portuguese Literary Culture,"A collection of studies examining Portuguese literature in relation to history, society, language, cultural identity, and literary movements.",ai
898,Literatures of South American Native Peoples,"An introduction to literary traditions of indigenous peoples in South America, considering oral narratives, poetry, mythology, storytelling, and cultural memory.",ai
898,Indigenous Voices of South America,"A survey of indigenous literary and oral traditions from South America, emphasizing storytelling, cultural identity, community history, and language.",ai
898,Oral Traditions of South American Peoples,"This study examines oral narratives, myths, legends, songs, and other expressive traditions preserved among indigenous South American communities.",ai
898,Native Literature and Cultural Memory,"An exploration of indigenous literary traditions as forms of cultural memory, examining themes of identity, land, ancestry, and community.",ai
898,Stories from Indigenous South America,"A collection and study of traditional narratives from indigenous South American cultures, with attention to their literary forms and cultural significance.",ai
699,The Car Builders' Dictionary,"An illustrated reference to American railroad cars, their parts, attachments, and construction details, with definitions and illustrations of British car-building practice.",ai
699,Car Builders' Cyclopedia of American Practice,"A technical reference to railway car construction and equipment, documenting terminology, components, designs, and practical methods used in American car building.",ai
699,Railroad Car Building and Repair,"A technical overview of railway car construction and repair, covering car bodies, frames, components, assembly practices, maintenance, and shop operations.",ai
699,Passenger Car Building,"A study of the design and construction of passenger railway cars, including structural assembly, body construction, interior fitting, mechanical systems, and finishing.",ai
699,Railroad Freight Car Construction,"A technical study of freight-car construction, examining major car types, structural components, manufacturing methods, assembly processes, and practical engineering requirements.",ai
