DDC,title,description
086,The Film Anthologies Index,"""A reference index of film anthologies and collections published up to the early 1990s. The primary requirement is that the books are indexed. This volume provides a comprehensive analysis and single index to all the film reviews, essays, and critiques that appear across a wide range of different film books and critical anthologies, acting as an essential tool for motion picture bibliography and film research."""
198,Fear and Trembling,"In Fear and Trembling, Kierkegaard, writing under the pseudonym Johannes de silentio, expounds his personal view of religion through a brilliant discussion of the Old Testament story of Abraham's sacrifice of his son Isaac. He uses this narrative to explore the nature of faith, the ethical, and the ""teleological suspension of the ethical."""
198,Either/Or: A Fragment of Life,"One of the principal pillars of Kierkegaard's authorship, Either/Or explores the ""aesthetic"" and the ""ethical"" phases of existence. The first part contains the papers of a young man, ""A,"" an aesthete who lives for pleasure, while the second part consists of letters from a judge, ""William,"" who defends the ethical life of duty and marriage."
198,The Seducer's Diary,"Separated from the massive two-volume Either/Or, The Seducer's Diary is a psychological tracking of a man's calculated seduction of a young woman. Johannes, the seducer, seeks not physical gratification but the aesthetic pleasure of manipulating Cordelia's mind and soul."
198,Kierkegaard: A Very Short Introduction,"Patrick Gardiner provides a clear and concise introduction to the life and thought of the nineteenth-century Danish philosopher. He explores Kierkegaard's critique of the Hegelian system, his psychological insights into anxiety and despair, and his attack on the complacent Christian church of his day."
198,Søren Kierkegaard: A Biography,"Joakim Garff's monumental biography captures the dramatic life of Denmark's great philosopher. Using diaries, letters, and contemporary reviews, Garff provides a vivid portrait of Kierkegaard's troubled childhood, his broken engagement with Regine Olsen, and his ferocious battles with the Copenhagen press and church."
198,Philosopher of the Heart: The Restless Life of Søren Kierkegaard,"In this innovative biography, Clare Carlisle looks at Kierkegaard from the inside out, asking what it meant to be a philosopher in the mid-nineteenth century. It follows his life as an existential quest, exploring his spiritual anxieties, his intense relationships, and his philosophy lived in real time."
198,The Cambridge Companion to Kierkegaard,"This companion volume provides a comprehensive and accessible guide to Kierkegaard's writings. Essays by leading international scholars cover the full range of his work, including his pseudonymous literary production, his theological treatises, and his influence on modern existentialism."
198,Is It Painful To Think: Conversations with Arne Næss,"This book presents a series of intense, personal conversations between the founder of Deep Ecology, Arne Næss, and philosopher David Rothenberg. Næss reflects on his life, his philosophy of ""ecosophy,"" his mountain experiences, and his activism, revealing a playful yet deeply serious mind."
198,A Real Mind: The Life and Work of Axel Hägerström,"This book offers the first full-length intellectual biography in English of Axel Hägerström, the founding father of the school of legal philosophy known as Swedish Legal Realism. It contextualizes his radical non-cognitivist value theory and his motto ""Praeterea censeo metaphysicam esse delendam."""
198,Lingua Universalis vs. Calculus Ratiocinator: An Ultimate Presupposition of Twentieth-Century Philosophy,"This volume collects Jaakko Hintikka's seminal papers exploring the fundamental dichotomy in the philosophy of language and logic: language as the universal, inescapable medium of thought versus language as a calculus that can be reinterpreted and manipulated from the outside."
455,Practice Makes Perfect: Italian Verb Tenses,"Most verb books offer little more than conjugation charts and a few mechanical exercises. Practice Makes Perfect: Italian Verb Tenses gives you much more. In addition to thorough demonstrations of conjugations for regular and irregular verbs, it features plenty of useful examples and numerous engaging exercises that help you remember verb tenses. And, equally important, it explains when and why to use them."
455,Wim Delvoye: Cloaca - New & Improved,"Borrowing its name from the ancient sewer in Rome, Belgian conceptualist Wim Delvoye's new and improved ""Cloaca"" is a room-sized shit-making machine whose bowels process two meals a day, serving up a mouthful of complex themes: scatology and disgust, high and low culture, man as machine and vice-versa."
455,Max at School (Max and Ruby),"Learn to read with beloved bunnies Max and Ruby in this fun rhyming story! Max waves good-bye to his parents, boards the bus with Ruby, and heads to school with his book and lunch box in tow. There he sings songs, paints pictures, and even gets to dress up like a pirate! Once the day comes to an end, Max can't wait to do it all over again!"
455,Practical Italian Grammar,"As its title implies, the present work aims to present in the simplest form the elements of the Italian language. In preparing it, the author has made no attempt at completeness; on the contrary, his efforts have tended to omit whatever seemed non-essential and apt to cause confusion in the beginner's mind. Believing that extensive drill should be emphasized in the study of any modern language, he has consistently followed the system of giving few rules and many exercises in each lesson."
455,Hugo Italian Verbs Simplified,"An exhaustive treatise, containing the complete conjugation of the three classes of regular verbs, and of the auxiliaries, with table of terminations; to which is added an alphabetical list, showing the full conjugation of all the irregular verbs with their various forms."
455,Tense and Aspect in Italian Interlanguage,The present study investigates the development of tense and aspect marking in the interlanguage of L3 Italian learners enrolled in university language courses. It examines how the tense-aspect system develops in the interlanguage and how the acquisition process is shaped by factors such as the lexical aspectual value of the predicates and discourse grounding.
455,The Italian verb: A morphological study,"This morphological study is designed to show the transformation from Latin verbs into the Old and Modern Italian verbal system. The work is inspired by the methods of traditional, historical philology, and its intent is largely pedagogical."
455,Iconicity and Analogy in Language Change,"This book examines the alternation between accusative-dative and dative-accusative order in Old Florentine clitic clusters and its decline in favor of the latter. Based on an exhaustive analysis of data collected from medieval Florentine and Tuscan texts we offer a novel analysis of the rise of the variable order, the transition from one order to the other, and the demise of the alternation that relies primarily on iconicity and analogy."
455,Formal studies in Italo-Romance morphology and syntax,"This volume gathers a thematic selection of scientific contributions presented at the 17th Cambridge Italian Dialect Syntax-Morphology Meeting (Zurich, 11-13 September 2023). The chapters address linguistic phenomena at the intersection of syntax, morphology and pragmatics and apply formal analyses."
461,My Day from A to Z,An ABC book about a little elephant's daily activities at home and school.
469,Hibernation Station,"Everybody at the station! It's time for winter hibernation! The sweet rhyming text of this book will calm even the most rambunctious kids and have them dreaming about what it's like to hibernate. Young readers will be soothed and delighted as this story introduces them to different types of hibernating animals. The creatures on the train are preparing to snuggle into sleep, although with a passenger list that includes chipmunks, bears, snakes, hedgehogs, groundhogs, frogs, turtles, mice, bats, and more, there's a lot of noise! Will the hibernating critters ever get to sleep? Take a trip to Hibernation Station to find out!"
469,Ah-Choo!,"Follow a sneeze from the farmer to his wife--and then to all of the barnyard animals--in this humorous, original paperback that the youngest children will adore. What do the farmer, his wife, and the farm animals all have in common?
"
469,Will's Quill,"A goose named Willoughby visits London, meets a friendly actor-playwright named Shakespeare, and helps make literary history."
469,Paris for Two,"Set in Paris, this middle-grade take on Anna and the French Kiss will have readers swooning.Most people go to Paris to fall in love, but twelve-year-old Petunia Beanly goes to Paris to hide from it. She knows how much love hurts. She'll never forget how painful it was to mess up badly with Windel Watson, the only boy who has ever made her heart turn over. Besides, love is really only for the golden people, like Pet's gorgeous, glamorous, and infuriating older sister, Ava. So when Pet and her family move to Paris for a year, her plan is to stay in her new room with the blankets over her head. But Paris knows how to find its way into the shyest of hearts. And Paris has a surprise in store for both Beanly sisters that will change the way they see themselves, each other, and the swirling adventure that is a first crush."
469,Benjamin's Barn,"It's really just an ordinary barn, home to a horse, cows, sheep, and all the other animals you'd expect to find. But with a little imagination it isn't hard to fill up Benjamin's barn with a flock of pterodactyls, a rhinoceros, a pirate ship, a brass band and even an entire royal family."
469,Portuguese For Dummies,"Quick! What's the most widely spoken language in South America? That's right, Portuguese! And what's the fastest, easiest, most enjoyable way to learn Portuguese? Portuguese for Dummies, of course! This fun, friendly guide helps you start speaking Brazilian Portuguese immediately! Whether you're a student, a traveler, or you work in business or government, you'll love its practical lessons, cultural facts, and handy references — including a Portuguese-English mini-dictionary, lists of vital verbs, and more! You'll discover how Portuguese for Dummies comes complete with a CD loaded with real-life “Talkin' the Talk” dialogues that help you understand and pronounce this lovely, lyrical language. With this easy, low-pressure approach you'll be jabbering away in Portuguese in no time. CD-ROM/DVD and other supplementary materials are not included as part of eBook file."
469,The Everything Learning Brazilian Portuguese Book,Discover just how easy it is to learn Brazilian Portuguese with this updated edition of The Everything Learning Brazilian Portuguese Book with new online audio so you can quickly access the pronunciation guide and exercises while you're reading.
469,Modern Brazilian Portuguese Grammar: A Practical Guide,"Modern Brazilian Portuguese Grammar: A Practical Guide is an innovative reference guide to Brazilian Portuguese, combining traditional and function-based grammar in a single volume. The Grammar is divided into two parts. Part A covers traditional grammatical categories such as agreement, nouns, verbs and adjectives. Part B is carefully organized around language functions covering all major communication situations such as: With a strong emphasis on contemporary usage, all grammar points and functions are richly illustrated with examples. Main features of the Grammar include: A combination of reference grammar and practical usage manual, Modern Brazilian Portuguese Grammar is the ideal resource for learners of Brazilian Portuguese at all levels, from beginner to advanced. It can be used independently, or in conjunction with the Modern Brazilian Portuguese Workbook, see ISBN 9780415566469. John Whitlam is a freelance writer, university lecturer and lexicographer based in Rio de Janeiro. He has authored a number of language teaching books and project coordinated and co-authored three of the best-selling bilingual dictionaries of Portuguese and English."
469,Harley Quinn: Wild Card (Backstories),"Who is Harley Quinn? How did she go from being the Joker's sidekick to joining the Suicide Squad? Will she ever side with the good guys or is she a Super-Villain through and through? In this biography--complete with black-and-white illustrations, timelines, and character profiles--readers will learn the complete history of the Maiden of Mayhem."
469,Ponto de Encontro: Portuguese as a World Language,"Ponto de Encontro is the first Portuguese language textbook that gives the student the choice to learn either Brazilian or European Portuguese. While it seeks to emphasize commonalities, Ponto also highlights and preserves important differences in both vocabulary and grammar. This program provides an ample, flexible, communication-oriented framework for a beginning or intermediate student of Portuguese."
478,Wheelock's Latin,"Generations of students have learned Latin with this classic introductory Latin grammar textbook that remains the most highly regarded and bestselling single-volume of its kind.Wheelock's Latin 7th Edition retains its signature core of authentic Latin readings—curated from the works of Cicero, Vergil, and other major Roman authors of Roman literature, drama, and poetry, as well as inscriptions, artifacts, and even authentic graffiti—that demonstrate the ancient Romans' everyday use of Latin: Latin as a living language. With expanded English-Latin/Latin-English vocabulary sections, tightly retooled comprehension and discussion questions, self-tutorial exercises, translation tips, etymological aids that reveal countless English derivatives from Latin, maps, and dozens of photos and illustrations that capture aspects of classical culture and mythology, Wheelock's Latin 7th Edition is the essential resource for students beginning their journey into the heart of the classical world."
478,Alphabet Rescue,"Bestselling writer Audrey Wood and her artist son Bruce Wood team up to present an alphabet book in this popular series. Now the little letters build a fire truck and save the day! Engaging alphabet books are perennial bestsellers with unlimited demand, and so are books about fire trucks. This splendid book is a surefire winner! As in their previous collaborations, the Woods bring lowercase letters to life in a fun adventure that is sure to have children learning their alphabet without even realizing they are studying. In this action-packed adventure, we witness the lowercase letters as they save the day and the uppercase letters. Riding in a fire truck they fixed themselves, these lowercase letters become heroes with firehoses!"
478,Skinnybones,"Alex's active sense of humor helps him get along with the school braggart, make the most of his athletic talents, and simply get by in a hectic world."
478,Honus & Me,"With historical photos and back matter to separate the facts from the fiction, New York Times bestselling author Dan Gutman takes readers on a page-turning trip through baseball's past. Perfect for young readers who love time travel stories and dream about meeting history's greatest baseball players!Joe Stoshack lives for baseball. He knows everything there is to know about the game—except how to play well. His specialty is striking out. Stosh feels like a real loser, and when he takes a low-paying job cleaning a bunch of junk out of his neighbor's attic, he feels even worse—until he comes across a little piece of cardboard that takes his breath away. His heart is racing. His brain is racing. He can hardly believe his eyes. Stosh has stumbled upon a T-206 Honus Wagner—the most valuable baseball card in the world!"
478,501 Latin Verbs,"Learning Latin is easy with Barron's 501 Latin Verbs. The authors provide clear, easy-to-use review of the most important and commonly used verbs from the Latin language. Each verb is listed alphabetically in easy-to-follow chart form—one verb per page with its English translation.This comprehensive verb guide is ideal for Latin students or anyone interested in learning Latin. It includes: 501 of the most common Latin verbs, conjugated in all tensesConcise guide to Latin verb conjugationHundreds of examples demonstrating verb usageLatin conjugation exercises and answersA list of Essential 55 Verbs with usage examples and expressions related to the verbsOverview of Latin grammarIndex of English-Latin verbs"
478,Latin: An Intensive Course,"This is a comprehensive introduction to Latin forms and syntax, designed to train the student in reading ancient texts at an early stage."
478,The Boys Start the War,"The first book in the hilarious trilogy featuring the feuding Hatford and Malloy families. When a new family--with three daughters--moves into the neighborhood, the Hatford brothers decide to make Caroline and her sisters so miserable that they'll want to go back to Ohio."
478,Getting Started with Latin,"What's preventing you from teaching Latin in your homeschool or learning it on your own? If you're intimidated because you've never studied Latin, bewildered by traditional Latin books that move too fast, or just don't know where to begin, then Getting Started with Latin is for you! Specifically designed to overcome these types of obstacles, Getting Started with Latin is divided into simple lessons that explain the fundamentals of Latin grammar in a way that anyone can grasp. Instead of burying you in mountains of information to memorize, new words and concepts are introduced in a gradual and systematic way. You can immediately apply what you've learned by translating the fun exercises at the end of each lesson. Quickly check your work by turning to the included answer key. To hear the words pronounced, simply download the free recordings from www.GettingStartedWithLatin.com. For additional help and instruction, the author has provided extensive audio commentary recordings that teach through every lesson and exercise in the book. With everything you need here in one book, why aren't you Getting Started with Latin?"
478,"How to insult, abuse & insinuate in classical Latin","When your contempt has reached classical proportions, crude Anglo-Saxon expletives just won't cut the mustard. Learn to express your outrage in the words of such late, great Romans as Horace, Cicero, Virgil, and Ovid -- guys who could ""dis"" with class! Unapologetically quoting these famous Latin writers entirely out of context, the authors have compiled a witty, wicked little lexicon of insults and invective that will soon have you demeaning, defaming, and degrading your enemies with real ""animus."" 6 1/2"" x 7 1/4"". Black-and-white illustrations."
478,The Mouse of Amherst,"When a mouse named Emmaline takes up residence behind the wainscoting of Emily Dickinson's bedroom, she wonders what it is that keeps Emily scribbling at her writing table throughout the day and into the night. Emmaline sneaks a look, and finds that it's poetry! Inspired, Emmaline writes her own first poem and secretly deposits it on Emily's desk. Emily answers with another poem, and a lively exchange begins. In this charming and fanciful introduction to Emily Dickinson, Elizabeth Spires demonstrates the power of poetry to express our deepest feelings, while Claire A. Nivola's delicate pencil drawings capture the intricacies of life in Emily's world. Included are eight of Dickinson's most loved poems, with seven corresponding poems by Emmaline that are sure to bring out the poet in any child."
478,These Hands,"Joseph's grandpa could do almost anything with his hands. He could play the piano, throw a curveball, and tie a triple bowline knot in three seconds flat. But in the 1950s and 60s, he could not bake bread at the Wonder Bread factory. Factory bosses said white people would not want to eat bread touched by the hands of the African Americans who worked there. In this powerful intergenerational story, Joseph learns that people joined their hands together to fight discrimination so that one day, their hands—Joseph's hands—could do anything at all in this whole wide world."
478,Latin For Dummies,"This title provides complete coverage of all Latin language essentials including grammar, usage and vocabulary to have readers reading and speaking Latin in no time. There are many examples to give readers language skills they can use immediately, no matter what their reason for studying."
